dataset,method,train_size,n_runs,fallback_runs,fallback_rows_total,primary_generator_rows_mean,fallback_fraction_mean,raw_valid_rate_mean,final_tstr_f1_mean,final_fidelity_distance_mean,primary_only_rows_mean,primary_only_tstr_f1_mean,primary_only_fidelity_distance_mean,tstr_f1_gap_to_real_train_mean
adult,code_llm,100,3,0,0,500.0,0.0,,0.04913964275436364,0.07494512505703939,,,,0.498793335172691
adult,ctgan,100,3,0,0,500.0,0.0,0.9926666666666666,0.029696883732053758,0.12693413358879202,,,,0.5182360941950007
adult,ctgan_strong,100,3,0,0,500.0,0.0,0.9975999999999999,0.1108601137884896,0.11281441909491559,,,,0.4370728641385649
adult,direct_icl,100,3,3,578,307.3333333333333,0.3853333333333333,,0.466278476888154,0.13662298212561594,307.3333333333333,0.5287023193258943,0.1975684585448718,0.08165450103890053
adult,fallback_only,100,3,3,1500,0.0,1.0,1.0,0.010883955140228446,0.07137521488746242,,,,0.5370490227868261
adult,code_llm,500,3,1,1,499.6666666666667,0.0006666666666666666,,0.07437231801025102,0.06446936729286933,,,,0.5161461414078935
adult,ctgan,500,3,0,0,500.0,0.0,0.9932,0.018417889164241173,0.12677427663081042,,,,0.5721005702539034
adult,ctgan_strong,500,3,0,0,500.0,0.0,0.9929333333333332,0.05517830141169732,0.11981631813085587,,,,0.5353401580064472
adult,direct_icl,500,3,3,653,282.3333333333333,0.43533333333333335,,0.5175155566253462,0.11693498258224151,282.3333333333333,0.5298352569877443,0.17938158352509448,0.07300290279279836
adult,fallback_only,500,3,3,1500,0.0,1.0,1.0,0.033026001358482625,0.06072899715202704,,,,0.557492458059662
pima,code_llm,100,3,0,0,500.0,0.0,,0.07636231091671224,0.10161343443203875,,,,0.41658241649321043
pima,ctgan,100,3,0,0,500.0,0.0,1.0,0.4147254839733418,0.19603865321724814,,,,0.07821924343658086
pima,ctgan_strong,100,3,0,0,500.0,0.0,1.0,0.3008310113261947,0.1711340301763852,,,,0.192113716083728
pima,direct_icl,100,3,1,1,499.6666666666667,0.0006666666666666666,,0.49351706494563635,0.14990889973492105,499.6666666666667,0.49921507064364207,0.15008059012771546,-0.0005723375357137109
pima,fallback_only,100,3,3,1500,0.0,1.0,1.0,0.4874170670327156,0.09777087576493261,,,,0.005527660377207051
pima,code_llm,500,3,0,0,500.0,0.0,,0.05656565656565656,0.09804062723104699,,,,0.44339701607338783
pima,ctgan,500,3,0,0,500.0,0.0,1.0,0.2814676399452167,0.20528085006667296,,,,0.21849503269382775
pima,ctgan_strong,500,3,0,0,500.0,0.0,1.0,0.3812713544027662,0.1656718662170002,,,,0.11869131823627822
pima,direct_icl,500,3,1,12,496.0,0.008,,0.4946461312797947,0.13636872043737572,496.0,0.4805899063801962,0.13733073402800902,0.005316541359249786
pima,fallback_only,500,3,3,1500,0.0,1.0,1.0,0.4906367041198502,0.0958321369100645,,,,0.009325968519194242
